//Provides list of Shift Preferences

@@ "Create"
"NICK_NAME","DAY","START_TIME","DURATION","ROOM_NAME","VERSION_NAME","ADD_HOURS","ADD_DAYS","VALID"
"Emp#1","0","08:00","2","Default_Room","Test_Version","0","1","1"
"Emp#1","1","08:00","2","Default_Room","Test_Version","0","-1","1"
"Emp#1","2","08:00","2","Default_Room","Test_Version","0","-1","1"
"Emp#1","3","08:00","2","Default_Room","Test_Version","0","-1","1"
"Emp#1","4","08:00","2","Default_Room","Test_Version","0","-1","1"
"Emp#1","5","08:00","2","Default_Room","Test_Version","0","-1","1"
"Emp#1","6","08:00","2","Default_Room","Test_Version","0","-1","1"
"Emp#2","0","08:00","2","Default_Room2","Test_Version2","0","1","1"
"Emp#2","0","08:00","2","Default_Room","Test_Version2","0","1","0"
"Emp#1","7","08:00","2","Default_Room","Test_Version","0","-1","0"
"Emp#1","0","07:00","2","Default_Room","Test_Version","0","1","0"
"Emp#1","0","08:00","24","Default_Room","Test_Version","0","1","0"


@@ "DefaultShift"
"NICK_NAME","DAY","START_TIME","DURATION","ROOM_NAME","VERSION_NAME"
"Cody", "6", "13:30:00", "2.5", "Comp. Lab #1", "Test_Scenario"
"Elias", "1", "19:00:00", "4.0", "Comp. Lab #2", "Test_Scenario"
"Elias", "5", "15:00:00", "4.0", "Comp. Lab #2", "Test_Scenario"
"Barbara", "3", "13:30:00", "4.0", "Comp. Lab #1", "Test_Scenario"
"Beth", "6", "09:00:00", "4.5", "Comp. Lab #2", "Test_Scenario"
"Janie", "1", "18:00:00", "4.0", "Comp. Lab #1", "Test_Scenario"
"Allan", "2", "19:00:00", "4.0", "Comp. Lab #2", "Test_Scenario"
"Harold", "5", "16:30:00", "4.0", "Comp. Lab #1", "Test_Scenario"
"Kristopher", "3", "08:00:00", "4.0", "Comp. Lab #2", "Test_Scenario"
"Elias", "3", "12:30:00", "3.5", "Comp. Lab #1", "Test_Scenario"
"Rickey", "5", "19:30:00", "3.5", "Comp. Lab #2", "Test_Scenario"
"Mindy", "5", "14:00:00", "4.0", "Comp. Lab #2", "Test_Scenario"
"Allan", "4", "14:00:00", "3.5", "Comp. Lab #2", "Test_Scenario"
"Irma", "1", "08:00:00", "3.0", "Comp. Lab #2", "Test_Scenario"
"Janie", "2", "18:00:00", "4.0", "Comp. Lab #1", "Test_Scenario"
"Wanda", "5", "20:30:00", "3.5", "Comp. Lab #1", "Test_Scenario"
"Chad", "2", "08:00:00", "3.0", "Comp. Lab #2", "Test_Scenario"
"Allan", "1", "11:00:00", "3.5", "Comp. Lab #1", "Test_Scenario"
"Irma", "3", "18:30:00", "4.5", "Comp. Lab #2", "Test_Scenario"
"Eugene", "3", "21:30:00", "4.5", "Comp. Lab #1", "Test_Scenario"
"Irma", "2", "13:00:00", "3.0", "Comp. Lab #2", "Test_Scenario"
"Rickey", "0", "19:00:00", "4.0", "Comp. Lab #1", "Test_Scenario"
"Harold", "2", "15:30:00", "3.5", "Comp. Lab #2", "Test_Scenario"
"Chad", "5", "08:00:00", "4.5", "Comp. Lab #2", "Test_Scenario"
"Guillermo", "3", "08:00:00", "3.5", "Comp. Lab #2", "Test_Scenario"
"Cody", "2", "16:00:00", "4.5", "Comp. Lab #2", "Test_Scenario"
"Irma", "4", "17:30:00", "5.5", "Comp. Lab #2", "Test_Scenario"
"Jody", "4", "22:00:00", "4.0", "Comp. Lab #1", "Test_Scenario"
"Donna", "6", "13:30:00", "2.5", "Comp. Lab #1", "Test_Scenario"
"April", "6", "16:00:00", "4.0", "Comp. Lab #1", "Test_Scenario"
"Beth", "3", "11:30:00", "3.5", "Comp. Lab #2", "Test_Scenario"
"Allan", "5", "12:00:00", "3.0", "Comp. Lab #2", "Test_Scenario"
"April", "1", "20:00:00", "3.0", "Comp. Lab #2", "Test_Scenario"
"Kristopher", "0", "23:00:00", "3.0", "Comp. Lab #1", "Test_Scenario"
"Barbara", "4", "11:00:00", "3.0", "Comp. Lab #2", "Test_Scenario"
"Guillermo", "4", "14:30:00", "4.5", "Comp. Lab #1", "Test_Scenario"
"Beth", "0", "13:00:00", "5.0", "Comp. Lab #1", "Test_Scenario"
"Elias", "2", "11:00:00", "3.0", "Comp. Lab #2", "Test_Scenario"
"Jeanette", "6", "09:00:00", "4.5", "Comp. Lab #1", "Test_Scenario"
"Janie", "4", "17:30:00", "3.5", "Comp. Lab #1", "Test_Scenario"
"April", "5", "20:00:00", "4.0", "Comp. Lab #1", "Test_Scenario"
"Mindy", "1", "15:30:00", "3.0", "Comp. Lab #2", "Test_Scenario"
"Jeanette", "3", "15:00:00", "4.0", "Comp. Lab #2", "Test_Scenario"
"Emily", "0", "16:00:00", "2.5", "Comp. Lab #2", "Test_Scenario"
"Donna", "2", "14:00:00", "3.5", "Comp. Lab #2", "Test_Scenario"
"Jody", "3", "16:00:00", "3.0", "Comp. Lab #1", "Test_Scenario"
"Jody", "0", "20:00:00", "3.0", "Comp. Lab #2", "Test_Scenario"
"Eugene", "1", "18:30:00", "4.5", "Comp. Lab #1", "Test_Scenario"
"April", "0", "22:00:00", "4.0", "Comp. Lab #1", "Test_Scenario"
"Emily", "1", "11:30:00", "4.0", "Comp. Lab #2", "Test_Scenario"
"Beth", "5", "17:30:00", "2.5", "Comp. Lab #2", "Test_Scenario"
"Guillermo", "6", "09:00:00", "4.5", "Comp. Lab #1", "Test_Scenario"
"Janie", "3", "13:00:00", "4.0", "Comp. Lab #2", "Test_Scenario"
"Harold", "1", "08:00:00", "5.0", "Comp. Lab #2", "Test_Scenario"
"Eugene", "5", "08:00:00", "3.5", "Comp. Lab #1", "Test_Scenario"
"Cedric", "0", "13:00:00", "4.0", "Comp. Lab #1", "Test_Scenario"
"Mindy", "4", "08:00:00", "4.0", "Comp. Lab #2", "Test_Scenario"
"Barbara", "1", "13:00:00", "3.0", "Comp. Lab #2", "Test_Scenario"
"Cedric", "5", "08:00:00", "4.5", "Comp. Lab #1", "Test_Scenario"
"Elias", "6", "13:30:00", "4.5", "Comp. Lab #2", "Test_Scenario"
"Irma", "0", "13:00:00", "3.0", "Comp. Lab #2", "Test_Scenario"
"Harold", "0", "18:00:00", "3.0", "Comp. Lab #1", "Test_Scenario"
"Chad", "6", "14:00:00", "4.0", "Comp. Lab #2", "Test_Scenario"
"Kristopher", "6", "16:00:00", "4.0", "Comp. Lab #1", "Test_Scenario"
"Jody", "5", "15:00:00", "5.0", "Comp. Lab #1", "Test_Scenario"
"Cody", "5", "12:30:00", "5.0", "Comp. Lab #2", "Test_Scenario"
"Cedric", "6", "09:00:00", "4.0", "Comp. Lab #2", "Test_Scenario"
"Tasha", "3", "08:00:00", "4.5", "Comp. Lab #1", "Test_Scenario"
"Tasha", "0", "13:00:00", "4.0", "Comp. Lab #2", "Test_Scenario"
"Kristopher", "1", "12:00:00", "4.0", "Comp. Lab #2", "Test_Scenario"
"Jeanette", "4", "08:00:00", "3.0", "Comp. Lab #2", "Test_Scenario"
"Jody", "1", "22:00:00", "4.0", "Comp. Lab #1", "Test_Scenario"
"Donna", "1", "11:30:00", "4.5", "Comp. Lab #1", "Test_Scenario"
"Emily", "4", "11:30:00", "4.0", "Comp. Lab #1", "Test_Scenario"
"Cody", "3", "17:00:00", "3.0", "Comp. Lab #2", "Test_Scenario"
"Emily", "2", "11:00:00", "4.5", "Comp. Lab #2", "Test_Scenario"
"Rickey", "2", "17:30:00", "4.0", "Comp. Lab #1", "Test_Scenario"
"Guillermo", "0", "17:00:00", "3.0", "Comp. Lab #2", "Test_Scenario"
"Barbara", "5", "19:00:00", "4.0", "Comp. Lab #2", "Test_Scenario"
"Wanda", "4", "19:00:00", "4.0", "Comp. Lab #2", "Test_Scenario"
"Wanda", "0", "18:30:00", "4.5", "Comp. Lab #2", "Test_Scenario"
"Donna", "3", "22:30:00", "3.5", "Comp. Lab #1", "Test_Scenario"
"Eugene", "0", "17:00:00", "2.0", "Comp. Lab #1", "Test_Scenario"
"Tasha", "1", "08:00:00", "3.0", "Comp. Lab #1", "Test_Scenario"
"Jeanette", "2", "08:00:00", "3.5", "Comp. Lab #1", "Test_Scenario"
"Eugene", "2", "21:30:00", "4.5", "Comp. Lab #1", "Test_Scenario"
"Cedric", "4", "19:30:00", "2.5", "Comp. Lab #1", "Test_Scenario"
"Emily", "3", "17:30:00", "4.0", "Comp. Lab #1", "Test_Scenario"
"Kristopher", "5", "12:30:00", "4.0", "Comp. Lab #1", "Test_Scenario"
"Jeanette", "5", "08:00:00", "4.0", "Comp. Lab #2", "Test_Scenario"
"Mindy", "3", "08:00:00", "4.0", "Comp. Lab #1", "Test_Scenario"
"Chad", "4", "08:00:00", "3.5", "Comp. Lab #1", "Test_Scenario"
"Wanda", "2", "19:00:00", "4.0", "Comp. Lab #2", "Test_Scenario"
"April", "4", "22:00:00", "4.0", "Comp. Lab #1", "Test_Scenario"
"Mindy", "2", "08:00:00", "4.0", "Comp. Lab #1", "Test_Scenario"
"Harold", "3", "15:00:00", "3.5", "Comp. Lab #2", "Test_Scenario"
